EDF,MSF,LLF,GA,|,station #,request #,off ratio,shuttle #,shut Capacity,|,EDF,MSF,LLF,GA,|init,EDF,MSF,LLF,GA,|rDS,
12,12,11,9,|,20,100,0.6,10,5,|,88,88,89,91,|init,8,8,8,8,1.475051258,
12,20,15,12,|,20,100,0.6,10,5,|,88,80,85,88,|init,8,8,8,8,1.504041395,
12,12,11,12,|,20,100,0.6,10,5,|,88,88,89,88,|init,8,8,8,8,1.450024121,
6,9,7,6,|,20,100,0.6,10,5,|,94,91,93,94,|init,4,4,4,4,1.491995163,
12,12,12,11,|,20,100,0.6,10,5,|,88,88,88,89,|init,10,10,10,10,1.45209694,
8,13,9,7,|,20,100,0.6,10,5,|,92,87,91,93,|init,4,4,4,4,1.448389266,
8,8,8,8,|,20,100,0.6,10,5,|,92,92,92,92,|init,4,4,4,4,1.472710399,
11,9,13,13,|,20,100,0.6,10,5,|,89,91,87,87,|init,6,6,6,6,1.465765735,
10,9,11,10,|,20,100,0.6,10,5,|,90,91,89,90,|init,5,5,5,5,1.447420339,
15,16,14,15,|,20,100,0.6,10,5,|,85,84,86,85,|init,10,10,10,10,1.399673684,
13,12,9,11,|,20,100,0.6,10,5,|,87,88,91,89,|init,6,6,6,6,1.449522089,
14,11,14,15,|,20,100,0.6,10,5,|,86,89,86,85,|init,6,6,6,6,1.430838744,
11,13,11,11,|,20,100,0.6,10,5,|,89,87,89,89,|init,7,7,7,7,1.482897681,
13,13,13,9,|,20,100,0.6,10,5,|,87,87,87,91,|init,6,6,6,6,1.436159945,
7,9,6,5,|,20,100,0.6,10,5,|,93,91,94,95,|init,3,3,3,3,1.471804444,
13,11,12,11,|,20,100,0.6,10,5,|,87,89,88,89,|init,8,8,8,8,1.444950741,
18,12,12,12,|,20,100,0.6,10,5,|,82,88,88,88,|init,6,6,6,6,1.400830571,
9,8,5,4,|,20,100,0.6,10,5,|,91,92,95,96,|init,2,2,2,2,1.469022648,
11,9,10,7,|,20,100,0.6,10,5,|,89,91,90,93,|init,6,6,6,6,1.452073079,
6,7,10,5,|,20,100,0.6,10,5,|,94,93,90,95,|init,1,1,1,1,1.483755951,
11,12,15,10,|,20,100,0.6,10,5,|,89,88,85,90,|init,7,7,7,7,1.449805592,
7,8,7,5,|,20,100,0.6,10,5,|,93,92,93,95,|init,5,5,5,5,1.467207098,
10,9,9,6,|,20,100,0.6,10,5,|,90,91,91,94,|init,6,6,6,6,1.469622919,
13,14,15,13,|,20,100,0.6,10,5,|,87,86,85,87,|init,9,9,9,9,1.459201017,
8,9,7,12,|,20,100,0.6,10,5,|,92,91,93,88,|init,3,3,3,3,1.460484169,
15,15,13,12,|,20,100,0.6,10,5,|,85,85,87,88,|init,9,9,9,9,1.441653076,
17,15,11,11,|,20,100,0.6,10,5,|,83,85,89,89,|init,8,8,8,8,1.421636554,
13,13,14,10,|,20,100,0.6,10,5,|,87,87,86,90,|init,7,7,7,7,1.442951522,
16,11,15,10,|,20,100,0.6,10,5,|,84,89,85,90,|init,8,8,8,8,1.439959141,
10,11,9,10,|,20,100,0.6,10,5,|,90,89,91,90,|init,5,5,5,5,1.451997638,
12,8,9,10,|,20,100,0.6,10,5,|,88,92,91,90,|init,6,6,6,6,1.46555917,
9,15,10,8,|,20,100,0.6,10,5,|,91,85,90,92,|init,5,5,5,5,1.444531581,
13,14,11,14,|,20,100,0.6,10,5,|,87,86,89,86,|init,6,6,6,6,1.477910056,
11,10,11,8,|,20,100,0.6,10,5,|,89,90,89,92,|init,6,6,6,6,1.443971727,
13,13,13,9,|,20,100,0.6,10,5,|,87,87,87,91,|init,6,6,6,6,1.444624232,
12,16,14,14,|,20,100,0.6,10,5,|,88,84,86,86,|init,8,8,8,8,1.466833249,
8,7,7,6,|,20,100,0.6,10,5,|,92,93,93,94,|init,4,4,4,4,1.495361934,
9,11,9,10,|,20,100,0.6,10,5,|,91,89,91,90,|init,7,7,7,7,1.433874991,
8,10,6,7,|,20,100,0.6,10,5,|,92,90,94,93,|init,5,5,5,5,1.478242965,
17,12,15,16,|,20,100,0.6,10,5,|,83,88,85,84,|init,9,9,9,9,1.532679964,
9,9,11,8,|,20,100,0.6,10,5,|,91,91,89,92,|init,4,4,4,4,1.394207939,
15,10,12,9,|,20,100,0.6,10,5,|,85,90,88,91,|init,8,8,8,8,1.473950671,
10,7,7,7,|,20,100,0.6,10,5,|,90,93,93,93,|init,5,5,5,5,1.447092287,
8,11,7,10,|,20,100,0.6,10,5,|,92,89,93,90,|init,2,2,2,2,1.509816912,
6,9,6,8,|,20,100,0.6,10,5,|,94,91,94,92,|init,5,5,5,5,1.424083691,
10,11,13,12,|,20,100,0.6,10,5,|,90,89,87,88,|init,8,8,8,8,1.401203187,
12,8,8,6,|,20,100,0.6,10,5,|,88,92,92,94,|init,3,3,3,3,1.44814203,
14,13,15,11,|,20,100,0.6,10,5,|,86,87,85,89,|init,9,9,9,9,1.43446324,
10,11,7,8,|,20,100,0.6,10,5,|,90,89,93,92,|init,4,4,4,4,1.47066557,
14,12,17,15,|,20,100,0.6,10,5,|,86,88,83,85,|init,8,8,8,8,1.43323251,
14,13,15,14,|,20,100,0.6,10,5,|,86,87,85,86,|init,11,11,11,11,1.36467718,
6,9,10,7,|,20,100,0.6,10,5,|,94,91,90,93,|init,4,4,4,4,1.51942015,
15,13,14,15,|,20,100,0.6,10,5,|,85,87,86,85,|init,9,9,9,9,1.41492592,
14,19,18,12,|,20,100,0.6,10,5,|,86,81,82,88,|init,9,9,9,9,1.46036893,
9,6,7,8,|,20,100,0.6,10,5,|,91,94,93,92,|init,5,5,5,5,1.44103198,
